year,dollar_damage,2016_damage
1933,318636,5851935
1934,563710,10117569
1935,165543,2883807
1936,1877147,32226533
1937,151584,2546998
1938,404225,6744180
1939,847579,14343216
1940,272178,4639087
1941,515737,8665698
1942,1484864,22406881
1943,1502027,21056463
1944,1365126,18587367
1945,2085984,27764212
1946,622265,8100249
1947,2251605,24811220
1948,717564,7268919
1949,605102,6191596
1950,2025079,20516091
1951,1160098,10892457
1952,1120460,10293822
1953,686677,6258529
1954,1349158,12235353
1955,6732934,61305401
1956,764612,6859136
1957,547181,4738049
1958,1125731,9491454
1959,3012055,25194196
1960,2634066,21685555
1961,4538514,36994418
1962,1347064,10860744
1963,570967,4548852
1964,6472419,50903546
1965,5183049,40081667
1966,8042547,60441981
1967,6405532,46782660
1968,2537330,17784389
1969,1554437,10336999
1970,21032477,132073548
1971,5435880,32727360
1972,6697033,39032218
1973,9958751,54653899
1974,8538021,42213417
1975,10860095,49215530
1977,41657801,178434661
1978,26799516,100172370
1979,30474267,102159651
1980,17584633,51937803
1981,55070300,147466102
1982,22939500,57840786
1983,27922600,68222306
1984,23656700,55416666
1985,42981100,97186067
1986,19761900,43851150
1987,46814999,100271511
1988,64958220,133652143
1989,27365313,53725559
1990,95707749,178273594
1991,26904193,48094140
1992,170775023,296387121
1993,54077726,91120516
1994,42004781,68984117
1995,32457602,52004743
1996,100283172,155997400
1997,81919419,125301194
1998,27431318,41297267
1999,134258534,196809517
2000,29876853,42356347
2001,87295001,121808984
2002,173976860,237072664
2003,974186857,1302740978
2004,126790417,164135271
2005,49392943,61838628
2006,60270382,73616476
2007,254172735,301999991
2008,889308348,1017965322
2009,33956897,39025571
2010,3397442,3843081
2011,254534704,279807400
2012,28213200,30376574
2013,29799753,31610624
2014,20034168,20916933
2015,3061836666,3117868276
2016,148266893,148266893
